s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
391,Takesada Matsutani ,Work 65-B-1,gutai,Hauser and Wirth,27,0,1,"1, polyvinyl acetate adhesive, acrylic & oil on canvas, mounted on plywood board",183 x 138 x 5 cm,1965,0,0,0,0,0,0,0,0,0,2,4,0,4,2,0,3,3,5,"vinyl glue creating wrinkles across the surface, paint made to look bulbous, bodylike, surface sags but in 2 directions down & small area to left, creates lines, bubbles, is paint sliding off surface"
192,Andy Warhol,Double Torso,pop art,Mutual Art also in Tate,1,0,1,"1, fluorescent silkscreen inks on canvas",111 x 202 cm,1966,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,5,"use of paint which only shows under UV light - bottom image is same as top one but under UV light, created w/ fluorescent silkscreen inks on canvas"
129,Larry Poons,Out,,Tate,1,0,1,"1, acrylic on canvas",198 x 519 cm,1967,0,0,0,0,0,0,1,4,0,4,1,0,3,1,0,3,3,5,"marks close to being line & almost dots, repeated in indeterminate space, partly see-through, spatial depth in use of fading out paint, repeated marks"
138,Isabel Rawsthorne,View through a Window II ,,Tate,9,0,1,"1, oil on canvas",94 x 175 cm,1967,0,1,0,0,0,0,0,0,0,1,4,0,1,4,0,0,5,5,"smudged, smeared paint, can't entirely work out the space & what this is"
216,Bhupen Khakhar ,Hamam Khana,,"Gallery Chemould Prescott Road, Mumbai also National Gallery of Modern Art, 22 ",22,0,1,"1, oil on board",124 x 124 cm,1968,1,0,0,0,0,0,1,4,2,1,0,1,2,4,0,0,3,5,"composition, select areas, empty spaces, sparse placing of elements, simplified, placing of small figure"
121,Margot Perryman,Arcade ,abstraction,Tate,9,0,1,"1, acrylic on canvas",173 x 147 cm,1969,0,1,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,5,"flat color planes, angle on yellow one, empty, odd, ambiguous space, seemingly simple"
172,Ian Stephenson,Flaxman: Understudy,abstraction,Tate,9,0,1,"1, oil, enamel & paper on paper",56 x 76 cm,1972,0,0,0,0,0,0,1,5,5,2,2,1,0,2,0,5,0,3,"splattering overlaying of paint droplets, placement matters, confining area matters, empty space, & tiny size of paint droplets is essential. Raised rectangle, irregularity creates an uncertainty of space, emptiness, what is there / not there, how this has been done"
46,Giorgio Griffa,Segni orizzontali ,abstraction,Tate,6,0,1,"1, acrylic on canvas",193 x 149 cm,1975,0,0,0,0,0,1,0,4,0,1,4,0,2,1,0,0,5,3,"canvas hung, not stretched, & fold marks created, general simplicity, suggestion, tentativeness, angled paint lines stop halfway through a row"
114,Jules Olitski,Sahny-7,abstraction,Mutual Art also in Tate,1,0,1,"1, acrylic on canvas",165 x 114 cm,1975,0,0,0,0,0,0,1,4,1,0,4,0,0,4,0,3,3,5,"splattered paint shapes on textural ground, splattering, spatial, indeterminate space"
258,Jack Whitten,Liquid Space I,,MoMA,1,0,1,"1, acrylic slip on paper",52 x 52 cm,1976,0,0,0,0,0,0,1,4,0,3,4,0,1,2,0,3,5,5,"smeared paint on paper, acrylic on paper slipping across surface, indeterminate space, parallel dragged lines w/ small cracked white lines across, as well as darker & lighter areas which follow curves give illusion of cloth, textural"
48,Philip Guston,Black Sea,,Tate,1,0,1,"1, oil on canvas",173 x 297 cm,1977,0,1,0,0,0,0,1,3,4,1,3,0,0,4,0,0,3,5,"isolated object, painterly handling, semi-abstract, strange"
75,Lee Ufan,From Line ,minimalism,Tate,28,0,1,"1, oil & glue on canvas",182 x 228 cm,1978,0,0,0,0,0,0,0,2,0,5,2,2,1,0,0,0,5,0,"fading out parallel paint lines, handdrawn quality of marks, yellow almost erased lines seem to glow and absorb blue lines"
191,Andy Warhol,"Shadows, detail",pop art,Dia also Tate,1,0,1,"1, silkscreen & acrylic on canvas",193 x 132 cm each of 102 1s - room size install,1979,0,0,0,0,0,0,1,2,0,3,2,2,0,4,0,0,0,5,"repetition of image w/ variation across the 102 1s, 2 shadow images, silkscreen w/ paint, here detail view of 4 shadow 1s, hard to tell what this is"
182,Luc Tuymans,Untitled (The Barge),conceptual,MoMA also Tate,12,0,1,"1, watercolor on paper",33 x 22 cm,1979,0,1,0,0,0,0,1,2,0,3,3,0,2,4,0,0,3,5,"washy paint, solid edges, predominant white circle, hard to tell what this is, uses washed out color & simplified shapes"
217,Prabhakar Barwe,Silent Observer,,"ArtNet.com also National Gallery of Modern Art, 22",22,0,1,"1, enamel on canvas",91 x 107 cm,1983,0,1,0,0,0,0,1,4,4,2,0,0,0,4,0,0,3,5,"composition, color in select areas, empty spaces, relative sizes, evocative placing of flattened objects"
120,Roland Penrose,House the Light-house ,surrealism,Tate,9,0,1,"1, gouache, graphite, ink & postcards on paper",59 x 84 cm,1983,0,1,0,0,0,0,1,2,0,0,1,0,2,4,0,0,0,5,"collage, composition of different shapes, textures, images, surreal effect"
256,Rosemarie Trockel,Untitled,conceptual,MoMA,5,0,1,"1, acrylic emulsion paint on paper",17 x 19 cm,1984,1,0,0,0,0,0,0,4,0,1,3,1,0,4,0,0,3,5,"volumetric object in relation to figure, hard to understand, are feet on the ground / jumping / off ladder - paint handling adds to the effect too"
327,Not Vital,Untitled,,MoMA,26,0,1,"1, synthetic polymer paint and oil stick on paper",192 x 153 cm,1984,0,1,0,0,0,0,0,1,1,1,4,0,0,4,0,0,5,5,"half abstract, half representational, markmaking, sparseness of objects, different handling of paint, hard to tell what objects are"
21,Boyd and Evans,The Wall ,representation,Tate,9,0,1,"1, acrylic on canvas",91 x 137 cm,1986,1,0,0,0,0,0,1,4,2,1,0,0,1,4,0,0,0,5,"hyper-realist, telling story but difficult to understand, certain mood, sense of waiting, figure with back to viewer gazing into deep space, expanse of wall on right"
257,GМ_nther Uecker,Sturz,ZERO,Axel Vervoordt Gallery also MoMA,5,0,1,"1, nails & acrylic paint on canvas over a wooden panel",200 x 155 cm,1987,0,1,0,0,0,1,0,2,0,2,4,0,1,3,0,3,5,5,"nails in wood, acrylic paint smears, handling of dark paint, handmarks & use of nails in swirling pattern, panel appears to be in 2 halves"
315,John Cage,River Rock and Smoke 4/13/90 #5,conceptual,MoMA,1,0,1,"1, soot & watercolor on paper",133 x 38 cm,1990,0,1,0,0,0,0,0,3,0,4,4,0,0,2,0,0,0,5,"called 'River Rock and Smoke', materials are soot & watercolor, empty space, placement of shape of rock at bottom of vertical seen against vaporous, light marks; here chance operations are performed by smoke settling in the fibers of the paper to im5 swirling structures - demonstrates the interaction of the 4 elements: earth, air, fire, & water. use of chance & systems in his work"
144,Gerhard Richter,Abstract 1 (726),,Tate,5,0,1,"1, oil on canvas",251 x 351 x 4 cm,1990,0,0,0,0,0,0,1,0,0,1,5,0,0,3,0,0,5,5,"smeared paint across canvas, spatial effects, illusive, depth, complex, what is this"
143,Gerhard Richter,"Self Portrait Standing, Three Times, 17.3.1991",,Tate,5,0,1,"1, 6 photographs, gelatin silver 5 on paper with oil paint",Each (x 6) 50 x 56 cm,1991,1,0,0,0,0,0,1,4,0,0,3,0,0,4,0,0,0,5,"repetition of 6 photos w/ different amounts of paint across, partly seeing-through - seriality & increasing cover of paint, try to see the studio/artist but hard to tell - covering up"
309,Raoul De Keyser,Forcalquier A1,,MoMA,12,0,1,"1, watercolor on paper",30 x 21 cm,1993,0,0,0,0,0,0,0,0,0,5,5,1,0,1,0,0,5,5,"thin, washes simple 3 line format, not straight lines, spare, subtle confounding abstractions, economical means, over1 lines, washy texture of paint"
88,Agnes Martin,Untitled #10,minimalism,Tate,1,0,1,"1, acrylic paint & graphite on canvas",152 x 152 cm,1995,0,0,0,0,0,0,0,2,0,5,2,1,1,1,0,0,5,5,"light, small brushmarks, very diluted paint, repetition, creating subtly moving surface, nuances of tonal variation, susceptible to light conditions: surface changing"
135,Fiona Rae,Untitled (emergency room),abstraction,Tate,9,0,1,"1, oil & acrylic on canvas",213 x 198 x 4 cm,1996,0,0,0,0,0,0,1,3,2,0,4,0,4,1,0,3,3,5,"overlayering of patterns, smudging, interdeterminate space, different sizes, mix of shapes & sqiggley ground partly overlapping"
201,Terry Winters,Parallel Rendering 2,,Tate,1,0,1,"1, oil & alkyd resin on canvas",244 x 320 cm,1997,0,0,0,0,0,0,1,3,4,2,2,1,3,4,0,0,5,0,"overlaying criss-crossed textured lines, depth, lines on top of each other at angles, mesh, systems & space"
108,Avis Newman,Meridians VIII ,abstraction,Tate,9,0,1,"1, acrylic paint & chalk on canvas",254 x 254 x 7 cm,1998,0,1,0,0,0,0,1,2,2,3,5,0,2,2,0,0,5,5,"in and out of focus; fuzzy, cloud-like field overlaid with sharper b&w lines scratched into surface, take away the texture out of focus dimension and the uncertainty of what this piece is and especially what the depth is would shift significantly"
